Dates,variable,feature_no,feature_name,value
19/10/18 00:00,5,354,"822,96","427,56"
20/10/18 00:00,5,354,"822,96",
21/10/18 00:00,5,354,"822,96","1115,36"
22/10/18 00:00,5,354,"822,96","832,56"
23/10/18 00:00,5,354,"822,96",
24/10/18 00:00,5,354,"822,96","1205,5"
25/10/18 00:00,5,354,"822,96","1783,11"
26/10/18 00:00,5,354,"822,96","771,34"
27/10/18 00:00,5,354,"822,96","812,46"
28/10/18 00:00,5,354,"822,96","338,24"
29/10/18 00:00,5,354,"822,96","355,92"
30/10/18 00:00,5,354,"822,96","2236,97"
31/10/18 00:00,5,354,"822,96","492,9"
01/11/18 00:00,5,354,"822,96","793,57"
02/11/18 00:00,5,354,"822,96",
03/11/18 00:00,5,354,"822,96","5585,18"
04/11/18 00:00,5,354,"822,96","1219,2"
05/11/18 00:00,5,354,"822,96","531,48"
06/11/18 00:00,5,354,"822,96",
07/11/18 00:00,5,354,"822,96","413,8"
08/11/18 00:00,5,354,"822,96",
09/11/18 00:00,5,354,"822,96","445,84"
10/11/18 00:00,5,354,"822,96",
11/11/18 00:00,5,354,"822,96",
12/11/18 00:00,5,354,"822,96",
13/11/18 00:00,5,354,"822,96",
14/11/18 00:00,5,354,"822,96",
15/11/18 00:00,5,354,"822,96",
16/11/18 00:00,5,354,"822,96",
17/11/18 00:00,5,354,"822,96",
18/11/18 00:00,5,354,"822,96",
19/11/18 00:00,5,354,"822,96",
20/11/18 00:00,5,354,"822,96","70,11"
21/11/18 00:00,5,354,"822,96","385,7"
22/11/18 00:00,5,354,"822,96",
23/11/18 00:00,5,354,"822,96",
24/11/18 00:00,5,354,"822,96","358,25"
25/11/18 00:00,5,354,"822,96","1223,24"
26/11/18 00:00,5,354,"822,96",
27/11/18 00:00,5,354,"822,96","558,65"
28/11/18 00:00,5,354,"822,96","181,2"
29/11/18 00:00,5,354,"822,96",
30/11/18 00:00,5,354,"822,96","336,3"
01/10/17 00:00,6,353,"155,1","480,32"
02/10/17 00:00,6,353,"155,1","124,27"
03/10/17 00:00,6,353,"155,1","893,8"
04/10/17 00:00,6,353,"155,1",
05/10/17 00:00,6,353,"155,1",
06/10/17 00:00,6,353,"155,1","164,74"
07/10/17 00:00,6,353,"155,1","730,36"
08/10/17 00:00,6,353,"155,1","705,36"
09/10/17 00:00,6,353,"155,1","213,3"
10/10/17 00:00,6,353,"155,1",
11/10/17 00:00,6,353,"155,1",
12/10/17 00:00,6,353,"155,1","4897,84"
13/10/17 00:00,6,353,"155,1","1137,88"
14/10/17 00:00,6,353,"155,1","703,84"
15/10/17 00:00,6,353,"155,1","80,75"
16/10/17 00:00,6,353,"155,1",537
17/10/17 00:00,6,353,"155,1","1402,06"
18/10/17 00:00,6,353,"155,1",
19/10/17 00:00,6,353,"155,1","232,64"
20/10/17 00:00,6,353,"155,1",
21/10/17 00:00,6,353,"155,1","1833,37"
22/10/17 00:00,6,353,"155,1","122,86"
23/10/17 00:00,6,353,"155,1",
24/10/17 00:00,6,353,"155,1",
25/10/17 00:00,6,353,"155,1","298,25"
26/10/17 00:00,6,353,"155,1","724,23"
27/10/17 00:00,6,353,"155,1","247,18"
28/10/17 00:00,6,353,"155,1","512,88"
29/10/17 00:00,6,353,"155,1","1219,64"
30/10/17 00:00,6,353,"155,1",
31/10/17 00:00,6,353,"155,1",
01/11/17 00:00,6,353,"155,1",
02/11/17 00:00,6,353,"155,1",
03/11/17 00:00,6,353,"155,1",
04/11/17 00:00,6,353,"155,1","769,1"
05/11/17 00:00,6,353,"155,1","209,48"
06/11/17 00:00,6,353,"155,1",
07/11/17 00:00,6,353,"155,1","110,78"
08/11/17 00:00,6,353,"155,1",
09/11/17 00:00,6,353,"155,1","304,46"
10/11/17 00:00,6,353,"155,1",
11/11/17 00:00,6,353,"155,1",
12/11/17 00:00,6,353,"155,1",
13/11/17 00:00,6,353,"155,1",
14/11/17 00:00,6,353,"155,1",
15/11/17 00:00,6,353,"155,1",
16/11/17 00:00,6,353,"155,1",
17/11/17 00:00,6,353,"155,1",
